customer_id,intervention_date,intervention_type,intervention_sequence,success,days_to_resolution,cost,zip_code
ACC000000,2024-07-14,budget_billing,1,False,53,64.1003510568888,10071
ACC000000,2024-09-15,budget_billing,2,False,2,74.97988950401422,10071
ACC000000,2024-04-26,deposit_adjustment,3,False,21,65.57333586649449,10071
ACC000000,2024-04-06,disconnect_notice,4,False,25,36.21062261782377,10071
ACC000001,2024-05-19,disconnect_notice,1,False,51,44.42157921404465,10070
ACC000001,2024-06-15,payment_arrangement,2,False,51,71.22767847290018,10070
ACC000002,2024-11-17,energy_assistance,1,True,58,37.41523922560336,10074
ACC000003,2024-05-26,budget_billing,1,True,36,26.40124790092561,10093
ACC000004,2024-05-30,disconnect_notice,1,False,18,79.76195410250031,10048
ACC000004,2024-09-05,deposit_adjustment,2,True,14,75.45447962707787,10048
ACC000005,2024-06-22,deposit_adjustment,1,True,24,42.10779940242303,10046
ACC000005,2024-06-07,energy_assistance,2,True,41,36.664615513367416,10046
ACC000005,2024-04-19,payment_arrangement,3,False,9,79.50202923669917,10046
ACC000005,2024-10-01,budget_billing,4,False,8,75.61064512368885,10046
ACC000006,2024-06-28,deposit_adjustment,1,False,7,86.50347200108193,10020
ACC000007,2024-12-14,payment_reminder,1,True,40,34.72496136910577,10020
ACC000008,2024-02-21,budget_billing,1,True,15,19.98017387306482,10070
ACC000008,2024-08-19,payment_arrangement,2,False,32,72.59644777835148,10070
ACC000008,2024-06-28,payment_reminder,3,True,29,30.59183489424602,10070
ACC000008,2024-09-07,budget_billing,4,True,28,93.67278871083158,10070
ACC000008,2024-12-31,disconnect_notice,5,True,6,51.08811134346192,10070
ACC000009,2024-10-09,deposit_adjustment,1,False,25,38.62031274746775,10083
ACC000009,2024-07-04,payment_arrangement,2,False,57,83.62132893302439,10083
ACC000010,2024-09-30,disconnect_notice,1,False,51,34.24711004186693,10060
ACC000011,2024-09-07,payment_arrangement,1,False,49,32.85238725409102,10013
ACC000012,2024-11-25,budget_billing,1,True,2,46.99333119864082,10019
ACC000012,2024-03-08,payment_reminder,2,False,1,31.560570160027517,10019
ACC000012,2024-10-07,payment_reminder,3,False,32,59.760378016419516,10019
ACC000013,2024-08-14,budget_billing,1,False,38,43.10048194473279,10004
ACC000014,2024-11-09,payment_arrangement,1,False,6,72.62315261117936,10030
ACC000014,2024-05-31,energy_assistance,2,False,36,11.492904603507053,10030
ACC000014,2024-09-20,energy_assistance,3,True,52,94.64709380406435,10030
ACC000015,2024-04-22,budget_billing,1,False,16,83.54999801810942,10061
