account_number,credit_score,demand_response,load_factor,peak_compliance,seasonal_stability,payment_history_score,budget_billing,payment_plan,channel_consistency,return_frequency,autopay_status,late_payments_30,late_payments_60,late_payments_90,meter_access,safety_compliance,service_calls,emergency_incidents,meter_reading_consistency,infrastructure_participation,multi_service,years_of_service,transfer_history,premise_correlation,authorized_users,paperless_billing,zip_code,weather_sensitivity,regional_delinquency_rate,income,debt_to_income,utilization_rate,days_since_last_late,average_monthly_bill,peak_season_performance,consumption_volatility,peak_time_usage,off_peak_usage,usage_predictability,recent_payments_ontime,risk_category
ACC000000,704.8357076505616,0.7100896487246434,0.6590382740464472,0.4240610663101639,0.7335565965121932,63.464502219213905,True,False,0.7571190589144617,0.24954857211642797,not_enrolled,2,0,0,0.9973873204690147,0.8452988297978145,6,0,0.68700878071008,True,True,5.190712709349412,0,0.8054120476549241,3,True,10071,0.35179031518543036,0.3544968722292522,64104.043659306095,0.45239089127559445,0.32819971846607665,97.45450790135673,324.78860833626896,good,0.5909833567320982,0.42846804306472835,0.2437854075710779,variable,0.8333333333333334,Low
ACC000001,673.0867849414408,0.7964380983481751,0.6762732792574568,0.9597757233474636,0.5558948367048577,88.32179501287027,False,False,0.8273023422212635,0.18185844075120094,enrolled,1,1,0,0.9660849684388921,0.9967848960211615,0,0,0.5644948929873261,False,False,7.037796047322165,0,0.6368545203003811,1,True,10070,0.37510557272623457,0.20074362942988347,26757.220965096807,0.25191107714367483,0.18529499736153707,336.51125763254896,724.2790136131487,poor,0.4817626826376177,0.2569470943623502,0.3828118753140042,predictable,0.9166666666666666,Medium
ACC000002,712.3844269050346,0.7065424824254163,0.8166353625185655,0.7468238367612909,0.7698604109096998,76.93329904963745,False,False,0.8059926521977872,0.1618809677349985,enrolled,0,0,0,0.9761269657639404,0.9246283137759066,1,0,0.939169856103146,False,False,4.152982973683523,0,0.4399172621582879,2,True,10074,0.3248868404441511,0.2750532808578011,51433.914606946746,0.10562090937870698,0.2506631227706161,151.48813849489665,443.42204626666194,good,0.2763455220956422,0.40972679883217855,0.5630346400278208,variable,1.0,Low
ACC000003,756.1514928204012,0.7805485601617833,0.6859481000331941,0.921841217671084,0.7764778398835905,86.21014711923719,True,False,0.7494727293258007,0.23494609809998768,not_enrolled,0,0,0,0.949460391634711,0.8523529831050374,0,0,0.846423949467047,True,False,11.210188815801112,1,0.5666600745628028,1,False,10093,0.7379982105572072,0.08366461394769674,95982.9905360759,0.5276139894570211,0.46183573519979443,263.96586518959185,759.796340336458,good,0.3089604771016115,0.794319458629377,0.7166998942395483,predictable,1.0,Very Low
ACC000004,668.2923312638331,0.8028379058075373,0.6496332267890715,0.789165543415305,0.6006097074463318,68.65159469320844,True,False,0.7488875961103411,0.3478621323185784,not_enrolled,1,1,0,0.6536643416894624,0.5792874738564332,1,0,0.893841100796169,False,True,8.583426462607575,0,0.5907946522201272,1,True,10048,0.5844063139596489,0.2674997936231394,49210.56458340913,0.2593437217704172,0.42400736149083934,125.95263170516307,205.616183065501,good,0.09161264984145558,0.7399368474797525,0.6208619816267079,variable,0.9166666666666666,Medium
ACC000005,668.293152152541,0.7240713446585866,0.4204277708068566,0.5644540352013792,0.6394777133650815,88.56438500266965,True,False,0.8775654127291536,0.011795901490914154,not_enrolled,0,0,0,0.9775573573612357,0.9453711885979859,1,0,0.7959803854747136,False,True,7.1110514269859495,0,0.7722453829125528,1,True,10046,0.47138889878236223,0.13769343782601806,68810.68554183895,0.4461198094286445,0.05423602074880241,77.7200316863483,642.17772086611,fair,0.5120865921555016,0.7274562785755647,0.7847235053050654,highly_predictable,1.0,Medium
ACC000006,758.9606407753696,0.815461084739608,0.6725829008911499,0.8262165869227377,0.5228155070140481,85.30886374614992,False,False,0.9648025661677236,0.25307023936741,not_enrolled,1,0,0,0.8229540585635068,0.9717049885972487,4,1,0.9678832961909647,True,False,4.583761982951226,0,0.5341087774391295,1,False,10020,0.22101076520753932,0.3618075820609284,70544.88154981949,0.22903551480944598,0.288599391086257,147.78445720263727,357.2305789848587,excellent,0.3274066561591444,0.2650735080079578,0.5546224907453157,variable,0.9166666666666666,Very Low
ACC000007,718.3717364576454,0.77976817416419,0.5231200679468556,0.8809950954955647,0.6170570238209447,81.62561397944029,True,True,0.7510025199911996,0.34379629498548736,enrolled,0,0,0,0.5886310379728094,0.9274343768373516,2,0,0.9438373672012947,False,False,5.787455550152158,2,0.6586028626948651,1,True,10020,0.6386087613759067,0.24769072053682784,77856.12806396153,0.1886907158336604,0.6268939251733069,107.83412430581103,696.2991378580193,fair,0.14783636166554368,0.47306369333600445,0.5579858048848236,predictable,1.0,Low
ACC000008,656.5262807032524,0.7023169728850097,0.8605022033475144,0.5818699399670828,0.2857311034994233,87.86046284241196,True,False,0.6932790176541958,0.051511072224993945,not_enrolled,0,0,0,0.9851228065850741,0.843412168287543,3,0,0.9085640557042503,False,True,3.860345069407436,0,0.5357504198496037,2,True,10070,0.7427201317887422,0.23571307422700497,63817.15619221475,0.3089477981942178,0.5167011768813214,142.0675494440243,580.091953700234,good,0.19481624818544063,0.5564645584072361,0.6481722113328335,predictable,1.0,High
ACC000009,707.1280021792983,0.887372869995918,0.42664445243614735,0.7075546847494336,0.5656829867750492,60.60089678587065,False,False,0.82140877683494,0.28234157536027016,not_enrolled,0,0,0,0.7973835357605974,0.909028670170169,5,1,0.7467602826048311,False,True,9.213802676263143,0,0.79449810429357,2,False,10083,0.4696038454799557,0.3526422089667734,77310.35573253577,0.1757635727137288,0.36948521570730775,54.20211479459584,684.6368970890242,poor,0.34607629281577673,0.48904361274638103,0.37530520898355413,predictable,1.0,Low
