account_number,month,usage
ACC000000,1,678.9678153283095
ACC000000,2,380.1908522868326
ACC000000,3,195.89365997233384
ACC000000,4,155.7491849242022
ACC000000,5,184.72527692721258
ACC000000,6,352.29636429717283
ACC000000,7,590.2741366473792
ACC000000,8,899.9282516931032
ACC000000,9,945.7322253949003
ACC000000,10,820.5855748782526
ACC000000,11,989.2110624168895
ACC000000,12,915.1042812628422
ACC000001,1,1097.1959901943478
ACC000001,2,881.4114403092079
ACC000001,3,498.47069191501083
ACC000001,4,466.84295549686937
ACC000001,5,617.240657646147
ACC000001,6,818.3627819376327
ACC000001,7,1137.987893203482
ACC000001,8,1319.858863340138
ACC000001,9,1587.6690564176592
ACC000001,10,1943.8908003692734
ACC000001,11,1415.0251226646742
ACC000001,12,1732.623154791434
ACC000002,1,812.7949235874007
ACC000002,2,655.329786907486
ACC000002,3,546.5817025852322
ACC000002,4,580.0044689927527
ACC000002,5,570.8611332470344
ACC000002,6,765.8327783074178
ACC000002,7,803.4832655315324
ACC000002,8,1052.388629595756
ACC000002,9,1062.0115598853731
ACC000002,10,1293.8703125865518
ACC000002,11,1194.8252932526811
ACC000002,12,1119.5634224474775
ACC000003,1,1048.6998385316815
ACC000003,2,655.3142291070837
ACC000003,3,438.2169361779223
ACC000003,4,427.8452504940066
ACC000003,5,400.5827197409508
ACC000003,6,711.6702335820289
ACC000003,7,1052.7488587555276
ACC000003,8,1270.917627376363
ACC000003,9,1366.1170099514766
ACC000003,10,1689.6646104341116
ACC000003,11,1344.4093298663536
ACC000003,12,1228.504235327528
ACC000004,1,1094.0060262671752
ACC000004,2,703.8179318940865
ACC000004,3,478.0819822266319
ACC000004,4,388.6639512613098
ACC000004,5,414.01529274734605
ACC000004,6,812.2091076885288
ACC000004,7,1117.4205526227192
ACC000004,8,1250.56056808987
ACC000004,9,1712.990627766922
ACC000004,10,1630.4891900148411
ACC000004,11,1581.9565301704297
ACC000004,12,1731.8037364217166
ACC000005,1,1046.550815618887
ACC000005,2,970.193225247339
ACC000005,3,597.6403931544836
ACC000005,4,607.6510571056742
ACC000005,5,776.5550691511947
ACC000005,6,799.2603521611252
ACC000005,7,911.4861159777397
ACC000005,8,1216.2888447167911
ACC000005,9,1589.585359626004
ACC000005,10,1431.7602558340304
ACC000005,11,1290.7732846514389
ACC000005,12,1140.5021659058916
ACC000006,1,1135.0368392086607
ACC000006,2,1002.1864605013258
ACC000006,3,913.4065768401448
ACC000006,4,903.134749962731
ACC000006,5,869.22746885783
ACC000006,6,1070.8879383479275
ACC000006,7,1171.7852810185964
ACC000006,8,1459.0418386608521
ACC000006,9,1611.4629144503251
ACC000006,10,1450.6562934820122
ACC000006,11,1590.7407351983409
ACC000006,12,1418.3362875117048
ACC000007,1,1316.2203893915485
ACC000007,2,1022.2520768432232
ACC000007,3,751.876829112805
ACC000007,4,568.8918641153622
ACC000007,5,621.2579035689581
ACC000007,6,1119.6706006738127
ACC000007,7,1577.2315802145927
ACC000007,8,1440.3834307737843
ACC000007,9,1960.458444552656
ACC000007,10,2394.2682672338124
ACC000007,11,1708.4293394861336
ACC000007,12,2086.768894419445
ACC000008,1,1555.4075239621009
ACC000008,2,1123.3256738976463
ACC000008,3,858.4582060948455
ACC000008,4,789.6285612268825
ACC000008,5,735.4040178682235
ACC000008,6,1208.7851037742982
ACC000008,7,1985.1908645555486
ACC000008,8,1730.6383459264316
ACC000008,9,2829.522655526988
ACC000008,10,1979.2077825060378
ACC000008,11,2357.685953121532
ACC000008,12,1870.002920393419
ACC000009,1,943.4373116914458
ACC000009,2,610.4462475738045
ACC000009,3,338.44944482882585
ACC000009,4,336.81526470414576
ACC000009,5,474.7359908156606
ACC000009,6,695.1749865669598
ACC000009,7,985.9174815453505
ACC000009,8,1310.4001298889298
ACC000009,9,1501.0138578931214
ACC000009,10,1468.6873655836987
ACC000009,11,1749.8880504752406
ACC000009,12,1256.7654140345219
ACC000010,1,1035.6936539421677
ACC000010,2,862.6575954308604
ACC000010,3,668.9885092824243
ACC000010,4,538.9570769590528
ACC000010,5,649.2510778526906
ACC000010,6,712.5550076961522
ACC000010,7,1086.077739957714
ACC000010,8,954.6263481613498
ACC000010,9,987.8742789312835
ACC000010,10,1459.3397337854533
ACC000010,11,1275.639387121421
ACC000010,12,973.8895450922862
ACC000011,1,1002.4040470801133
ACC000011,2,721.5241989145508
ACC000011,3,621.178024230144
ACC000011,4,529.667599502161
ACC000011,5,821.4293940925213
ACC000011,6,574.844611951726
ACC000011,7,862.8442864545574
ACC000011,8,1030.272631729379
ACC000011,9,1143.1930239156716
ACC000011,10,1251.4941309530236
ACC000011,11,1116.2248403679412
ACC000011,12,1164.0521578538176
ACC000012,1,552.9364607365969
ACC000012,2,481.7702311550357
ACC000012,3,310.36234896681907
ACC000012,4,260.25868742276987
ACC000012,5,325.1178226316356
ACC000012,6,498.8116707939969
ACC000012,7,834.4440594087075
ACC000012,8,1050.8666071388507
ACC000012,9,1150.8345803363998
ACC000012,10,1202.7341904168866
ACC000012,11,1338.0271256731626
ACC000012,12,980.7594111420113
ACC000013,1,925.5796676650695
ACC000013,2,717.1924113600859
ACC000013,3,513.8351647441214
ACC000013,4,443.84790087670996
ACC000013,5,500.36741113799155
ACC000013,6,795.9187981178459
ACC000013,7,1114.7550152879326
